Hospital Name,Address,Pin Code,PhONE NO,Fax,LATITUDE,LONGITUDE
Vasan Eye Care Hospital,"#966/2,Jlb Road,Lakshmipuram,C.H.Mohalla ,Mysore - 570004, Karnataka",570004,0821-3989000,0821-4287754,12.2961867,76.64366325
Bhanavi Hospital,"#P2, Anikethana Road, E&F Block, Kuvempu Nagar",570023,9663371212,0821-4253400,12.29274065,76.62715985
Brindavan Hospital,"No.64&64/1, 3Rd Cross, Jayalakshmipuram",570012,0821-4000782,0821-4000782,12.3229091,76.62684841
Vishwas Hospital,"Cts No, 3352/1, Near Telephone Exchange",591237,08338-220845,,16.4006726,74.3785532
Mahaveer Medical Centre,"Main Road, Dakishna Kannada",574201,08251-234525,08251-234782,12.7652719,75.1960964
Pragathi Speciality Hospital,Main Roadbolwar,574201,08251-231026,08251-236326,12.7677484,75.196183
Chetana Hospital,"Near Mahamaya Temple, Puttur",574201,08251-231901,08251-231247,12.759244,75.2014884
M.K.Bhandari Hospital,"Near Gunj, Goshala Road",584101,08532-235611,08532-235046,16.2157434,77.3549536
Sai Krishna Hospital,"Sindanur Road Opp Ayurvedic College Manvi (Tq), Opposite Hill",584123,08538-221029,08538-221029,15.9991462,77.0410761
Annadaneshwara Hospital,"Hahe Road, Sindhanur",584128,0853-5220945,,15.7680284,76.7498325
Balanku Hospital,"Near Basavana Bhavi Chowk, Basavanagara",584102,08532-236893,08532-236894,16.2114964,77.3600015
Mallikarjuna Nursing Home,"Hotel Jewel Rock Road, Durgigudi",577201,08182-223580,08182-220552,13.9363112,75.5689162
Subbaiah Hospital,"S.R. Road, (Jail Road)",577201,08182-226450,08182-277505,13.9405219,75.5685273
Usha Nursing Home,Savalanga Road Ravindranagarravindra Nagar,577201,08182-223522,08182-220155,13.9455304,75.5741354
Vivekananda Hospital And Maternity Home,"Thilak Nagar, Main Road",577201,08182-224350,08182-278420,13.9373681,75.5744496
Anuradha Nursing Home,"1St Cross, Raghavendra Extension, Thirthahalli",577432,08181-228238,08181-227238,13.6957162,75.2440329
Swathi Ent Hospital,"Sowlanga Road, Near Railway Gate, City",577204,08182-220491,,13.948252,75.5743168
Meena Nursing Home,"T.K. Road, Bhadravathi",577301,08282-266665,08282-265505,13.8447594,75.710044
Sahyadri Hospital,"Old Thirthahalli , Road.Shiva",577202,08182-222758,08182-2221455,13.9286588,75.5730978
Sharavathi Nursing Home,B.H. Road,577201,08182-223560,08182-222496,13.9309601,75.5798905
Nirmala Hospital,Shathaveri Gopalgowda Marg,577201,08182-223727,08182-228399,13.9445152,75.569051
Sagar Nursing Home,"Achuth Rao Layout, Near Jail Circle",577201,08182-224970,,13.9390511,75.5700776
Malnad Hospital & Institute Of Oncology,"9Th, Maile Stone, Opp Bidare Bus Stop, Nidige Po, B.H. Road",577222,08182-246800,08182-246724,13.8876825,75.6421284
Sindhu Urology Hospital,"Rmr Road, Durgigudi, Behind Nanjappa Hospital, Kuvempu Road",577202,08182-275314,,13.9376454,75.5713101
Nayana Hospital,"T.K. Road, Bhadravathi",577301,08282-267665,08282-267665,13.8465166,75.7068986
Sadhana Eye Hospital,"Rathnamma Madhava Rao Road, Durgigudi",577201,08182-274155,08182-274155,13.9375972,75.5711317
Chandini Hospital,"Chamarajpet, Sagarshivamogga",577401,08183-220771,,14.1671995,75.0237599
Onkar Hospital,"1St Parallel Road, Durgilgudi I",577201,08182-224003,,13.9370622,75.5697142
Sankara Eye Hospital,"Harakere, Thirthahalli Main Road",577202,08182-222099,08182-222101,13.9035861,75.56053132
Vasan Eye Care Hospital-Shimoga,"H E Commercials, Kuvempu Road, Shimoga - 577202",577202,08182-398900,08182-300033,13.9386494,75.57085142
Kaumudi Nursing Home,"Hospet Road, North Canara",581401,08384-229557,08384-22-557,14.6214788,74.8329288
Marikamba Hospital And Diagnostic Centre,Devikere Circle .Veer Savarkar Road,581401,08384-228132,08384-226003,14.621009,74.8315421
Shripad Hegde Kadave Institute Of Medical Sciences,Mes College Road,581402,08384-234833,08384-238379,14.6322453,74.8485365
Kripa Nursing Home,"K.H.B. Colony, -Uttara Kannada",581402,08384-238282,08384-235733,14.629897,74.849937
Jyothi Hospital,"Jyothi Circle Main Road, Daxina Kannada",574239,08257-230411,08257-231252,12.5651411,75.3898746
Jenukal Nursing Home,Railway Station Road,572201,08134-255226,08134-253079,13.257331,76.476903
Shridevi Hospital,1St Cross M.G Road,572101,0816-2255370,0816-2273344,13.3392288,77.1045572
Akshay Hospital,"2Nd Cross, Ashoknagar",572102,0816-2251082,,13.3353753,77.1178959
Jayashree Nursing Home,"#30, K.R. Extention, 1St Cross, Behind Ram Mandir",572101,0816-2274747,0816-2251243,13.3391648,77.1072368
Mookambika Modi Eye Hospital,"3Rd Main, Shankarpuram. B H Road",572102,0816-2254400,0816-2254499,13.3405863,77.1106044
Bharathi Hospital,"4Th Cross, Barkline Road, K.R. Extension, 4Th Cross",572101,0816-2254438,0816-2279876,13.3397324,77.1098828
Aruna Hospital,Dr.Radhakrishan Road,572102,0816-2276408,0816-2255934,13.3375375,77.1087348
Bapuji Nursing Home,"1St Cross, Someshwar Puram",572102,0816-2271628,0816-2273830,13.3335119,77.1100475
Vinayaka Hospital,"1St Main, Ashoka Nagar, Opp Government College",572103,0816-2254231,0816-2255626,13.3370709,77.1178763
Vijaya Hospital,"Kunigal Road, Near Banashankari Temple",572101,0816-2257762,,13.3325866,77.0959957
Kasturba Hospital,"S.S. Puram Main Road, Tumkur",572102,0816-4021685,0816-2255199,13.3322772,77.1128231
Srinivasa Nursing Home,"B.H.Road, Shivakumar Swamy Circle",572103,0816-2278136,,13.337606,77.1175171
B.Siddaramanna Hospital,"Opp Ib Railway Station Road, Gandhi Nagar,",572102, 0816-2270278,0816-2275559,13.3354144,77.1017115
Ganadhal Ent & Dental Hospital,"#17, New Gms Complex, Ashoka Road",572101,0816-2271225,0816-2271225,13.331756,77.1111616
Dr Mahadevappa Eye Laser Hospital,"15Th Cross, S.S. Puram, (Horticulture Office Road)",572102,0816-2275836,0816-2275836,13.3348872,77.1101698
Charaka Hospital,"No-5, 2Nd Main Shankarapuram, B.H Road",572102,0816-2255545,0816-2255545,13.3369895,77.1170309
Goutham Hospital,"Water Tank Road, Behind R.T.O Office, Vidyanagar",572103,0816-2280252,0816-2280252,13.339,77.113869
M.C. Orthopaedic Arthroscopy & Joint Replacement Centre,"2Nd Cross, Ashok Nagar, Dibhi Ghat Road,",572102,0816-4014297,0816-4014297,13.3338461,77.1172817
J.M.J. Diagnova Hospital,"Church Road, Udupi",576101,0820-2524180,0820-2523396,13.3373118,74.7489327
Lalith Hospital,"12-1-24-2A, K.M, Marg, Udupi",576101,0825-2529817,0825-2536298,13.3396727,74.74828384
Mahesh Hospital,"N.H.17, Brahmavara. Taluk, Udupi",576213,0820-2563956,0820-2505256,13.4319768,74.7431245
Adarsha Hospital Udupi,"Near K.S.R.T.C Bus Stand, Udupi",576101,0820-2535289,0820-2536580,13.3400479,74.747338
Sri Manjunatha Hospital,"Main Road, Kundapur, Near Old Bus Stand",576201,08254-230515,08254-234768,13.6320247,74.6899456
Mahalaxmi Eye Clinic & Laser Centre,"Andrade Arcade, 1St Floor, Opp Syndicate Bank, K.M. Marg, Udupi",576101,0820-2523909,0820-2536298,13.3359202,74.7466341
C.S.I. Lombard Memorial Hospital,"Mission Hospital Road, Udupi",576101,0820-2527455,0820-2527455,13.329745,74.749151
Dr.A.V.Baliga Memorial Hospital,"6Th Main, V.M Nagar, Doddanguddi, Udupi",576102,0820-2535299,0820-2526549,13.3595038,74.7624175
Pranav Hospital,"N.H.17, Brahmavara, Udupi",576213,0820-256299,0820-2562999,13.4417008,74.7431096
Prasad Netralaya,"# 21-4-2A 1, A.J Alse Road Behind Alankar Theatre, Udupi",576101,0820-2527956,0820-2593325,13.33917,74.7467682
Manjunatha Eye Hospital,"Door No. 11-1-53, Bannanje,",576101,0820-2522122,,13.3435049,74.7474562
Benaka Health Centre,"Main Road, Ujire",574240,08256-236742,08256-237847,12.9962189,75.3216869
Athreya Hospital,"Gonikoppal Road Opp, Kstrc Bus Stands.Kodagu",571218,08274-257483,08274-257783,12.1966985,75.8054361
BGS Gleneagles Hospitals,"67, Uttarahalli Main Rd, Sunkalpalya, Bengaluru, Karnataka",560060,08527306331,,12.90302742110326,77.49746282401954
